nombre,especie,habitualidad,número,importe
Max,1,1,345,5876.45
Bella,2,0,1248,3987.21
Charlie,3,1,567,2123.76
Lucy,2,0,1543,4756.89
Daisy,1,1,879,3254.12
Luna,3,1,567,4312.98
Rocky,2,0,1248,2856.74
Milo,1,1,879,1789.56
Buddy,2,1,921,6743.29
Bailey,1,0,1765,5423.11
Oliver,3,0,1248,3210.67
Lola,2,1,567,2567.89
Coco,1,0,1765,3219.43
Leo,3,0,1543,4798.56
Zoe,2,1,567,2134.78
Molly,1,0,1543,4567.32
Tucker,3,1,921,3456.21
Lily,2,0,879,2654.98
Sadie,1,1,879,1987.45
Duke,3,1,345,4321.76
Maggie,2,0,879,3876.32
Riley,1,1,1765,3245.67
Max,1,1,345,5487.32
Bella,2,0,1248,2765.89
Charlie,3,1,567,2134.56
Lucy,2,0,1543,4987.21
Daisy,1,1,879,3456.98
Luna,3,1,567,2345.67
Rocky,2,0,1248,5123.45
Milo,1,1,879,2876.21
Buddy,2,1,921,3876.32
Bailey,1,0,1765,4567.98
Oliver,3,0,1248,2654.12
Lola,2,1,567,2345.67
Coco,1,0,1765,4987.45
Leo,3,0,1543,3421.98
Zoe,2,1,567,2765.89
Molly,1,0,1543,2987.56
Tucker,3,1,921,5643.21
Lily,2,0,879,3120.98
Sadie,1,1,879,1876.43
Duke,3,1,345,4321.76
Maggie,2,0,879,3756.32
Riley,1,1,1765,2987.21
Max,1,1,345,5487.32
Bella,2,0,1248,2765.89
Charlie,3,1,567,2134.56
Lucy,2,0,1543,4987.21
Daisy,1,1,879,3456.98
Luna,3,1,567,2345.67
Rocky,2,0,1248,5123.45
Milo,1,1,879,2876.21
Buddy,2,1,921,3876.32
Bailey,1,0,1765,4567.98
Oliver,3,0,1248,2654.12
Lola,2,1,567,2345.67
Coco,1,0,1765,4987.45
Leo,3,0,1543,3421.98
Zoe,2,1,567,2765.89
Molly,1,0,1543,2987.56
Tucker,3,1,921,5643.21
Lily,2,0,879,3120.98
Sadie,1,1,879,1876.43
Duke,3,1,345,4321.76
Maggie,2,0,879,3756.32
Riley,1,1,1765,2987.21